Dataset,Pattern,Target_Class,Blending,seed,Defense,N_Patterns,ACC,F1,Precision,Recall,TPR,FPR,TP,FP,TN,FN
cifar10,trigger_white_square,4_all,0.2,4,vbd,1,0.9777,0.8827,0.9328,0.8378,0.8378,0.0067,4189,302,44698,811
cifar10,trigger_white_square,4_all,0.2,4,agpd_100,,0.9842,0.9149,0.9909,0.8498,0.8498,0.0009,4249,39,44961,751
cifar10,trigger_white_square,4_all,0.2,4,scan_100,,0.9695,0.8201,1.0,0.695,0.695,0.0,3475,0,45000,1525
cifar10,trigger_white_square,4_all,0.2,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,4_all,0.2,4,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,4_all,0.2,4,abl,,0.9016,0.508,0.508,0.508,0.508,0.0547,2540,2460,42540,2460
cifar10,trigger_white_square,4_all,0.5,4,vbd,1,0.9919,0.959,0.9752,0.9434,0.9434,0.0027,4717,120,44880,283
cifar10,trigger_white_square,4_all,0.5,4,agpd_100,,0.9852,0.9199,0.9991,0.8524,0.8524,0.0001,4262,4,44996,738
cifar10,trigger_white_square,4_all,0.5,4,scan_100,,0.991,0.9527,1.0,0.9096,0.9096,0.0,4548,0,45000,452
cifar10,trigger_white_square,4_all,0.5,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,4_all,0.5,4,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,4_all,0.5,4,abl,,0.9604,0.802,0.802,0.802,0.802,0.022,4010,990,44010,990
cifar10,trigger_white_square,4_all,1.0,4,vbd,1,0.9944,0.9717,0.986,0.9578,0.9578,0.0015,4789,68,44932,211
cifar10,trigger_white_square,4_all,1.0,4,agpd_100,,0.9942,0.9704,0.9968,0.9454,0.9454,0.0003,4727,15,44985,273
cifar10,trigger_white_square,4_all,1.0,4,scan_100,,0.9962,0.9805,1.0,0.9618,0.9618,0.0,4809,0,45000,191
cifar10,trigger_white_square,4_all,1.0,4,agpd_2000,,,,,,,,,,,
cifar10,trigger_white_square,4_all,1.0,4,scan_2000,,,,,,,,,,,
cifar10,trigger_white_square,4_all,1.0,4,abl,,0.9728,0.8638,0.8638,0.8638,0.8638,0.0151,4319,681,44319,681
tiny,big_hello_kitty,0_all,0.1,0,vbd,1,0.9982,0.9911,1.0,0.9823,0.9823,0.0,9823,0,90000,177
tiny,big_hello_kitty,0_all,0.1,0,agpd_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,0.1,0,scan_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,0.1,0,agpd_2000,,0.9999,0.9995,0.9993,0.9996,0.9996,0.0001,9996,7,89993,4
tiny,big_hello_kitty,0_all,0.1,0,scan_2000,,0.9687,0.8143,1.0,0.6868,0.6868,0.0,6868,0,90000,3132
tiny,big_hello_kitty,0_all,0.1,0,abl,,0.9801,0.9005,0.9005,0.9005,0.9005,0.0111,9005,995,89005,995
tiny,big_hello_kitty,0_all,0.2,0,vbd,1,0.9999,0.9994,0.9995,0.9994,0.9994,0.0001,9994,5,89995,6
tiny,big_hello_kitty,0_all,0.2,0,agpd_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,0.2,0,scan_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,0.2,0,agpd_2000,,0.9999,0.9994,1.0,0.9988,0.9988,0.0,9988,0,90000,12
tiny,big_hello_kitty,0_all,0.2,0,scan_2000,,0.9554,0.7132,1.0,0.5542,0.5542,0.0,5542,0,90000,4458
tiny,big_hello_kitty,0_all,0.2,0,abl,,0.9815,0.9073,0.9073,0.9073,0.9073,0.0103,9073,927,89073,927
tiny,big_hello_kitty,0_all,0.5,0,vbd,1,1.0,1.0,1.0,1.0,1.0,0.0,10000,0,90000,0
tiny,big_hello_kitty,0_all,0.5,0,agpd_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,0.5,0,scan_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,0.5,0,agpd_2000,,1.0,0.9998,1.0,0.9997,0.9997,0.0,9997,0,90000,3
tiny,big_hello_kitty,0_all,0.5,0,scan_2000,,0.9608,0.7565,1.0,0.6084,0.6084,0.0,6084,0,90000,3916
tiny,big_hello_kitty,0_all,0.5,0,abl,,0.9899,0.9495,0.9495,0.9495,0.9495,0.0056,9495,505,89495,505
tiny,big_hello_kitty,0_all,1.0,0,vbd,2,1.0,0.9998,0.9996,1.0,1.0,0.0,10000,4,89996,0
tiny,big_hello_kitty,0_all,1.0,0,agpd_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,1.0,0,scan_100,,,,,,,,,,,
tiny,big_hello_kitty,0_all,1.0,0,agpd_2000,,0.6464,0.0,0.0,0.0,0.0,0.2818,0,25361,64639,10000
tiny,big_hello_kitty,0_all,1.0,0,scan_2000,,1.0,1.0,1.0,1.0,1.0,0.0,10000,0,90000,0
tiny,big_hello_kitty,0_all,1.0,0,abl,,0.9567,0.7837,0.7837,0.7837,0.7837,0.024,7837,2163,87837,2163
tiny,small_hello_kitty,0_all,0.1,0,vbd,4,0.9994,0.9969,0.9984,0.9954,0.9954,0.0002,9954,16,89984,46
tiny,small_hello_kitty,0_all,0.1,0,agpd_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,0.1,0,scan_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,0.1,0,agpd_2000,,0.9991,0.9954,0.9977,0.9931,0.9931,0.0003,9931,23,89977,69
tiny,small_hello_kitty,0_all,0.1,0,scan_2000,,0.9994,0.9972,1.0,0.9944,0.9944,0.0,9944,0,90000,56
tiny,small_hello_kitty,0_all,0.1,0,abl,,0.9771,0.8855,0.8855,0.8855,0.8855,0.0127,8855,1145,88855,1145
tiny,small_hello_kitty,0_all,0.2,0,vbd,1,0.9998,0.9991,0.9992,0.9991,0.9991,0.0001,9991,8,89992,9
tiny,small_hello_kitty,0_all,0.2,0,agpd_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,0.2,0,scan_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,0.2,0,agpd_2000,,0.999,0.995,0.9901,1.0,1.0,0.0011,10000,100,89900,0
tiny,small_hello_kitty,0_all,0.2,0,scan_2000,,0.9999,0.9996,1.0,0.9993,0.9993,0.0,9993,0,90000,7
tiny,small_hello_kitty,0_all,0.2,0,abl,,0.9907,0.9534,0.9534,0.9534,0.9534,0.0052,9534,466,89534,466
tiny,small_hello_kitty,0_all,0.5,0,vbd,1,1.0,1.0,1.0,1.0,1.0,0.0,10000,0,90000,0
tiny,small_hello_kitty,0_all,0.5,0,agpd_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,0.5,0,scan_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,0.5,0,agpd_2000,,0.9996,0.998,0.9969,0.9991,0.9991,0.0003,9991,31,89969,9
tiny,small_hello_kitty,0_all,0.5,0,scan_2000,,1.0,1.0,1.0,1.0,1.0,0.0,10000,0,90000,0
tiny,small_hello_kitty,0_all,0.5,0,abl,,0.9926,0.9628,0.9628,0.9628,0.9628,0.0041,9628,372,89628,372
tiny,small_hello_kitty,0_all,1.0,0,vbd,2,1.0,0.9998,0.9996,1.0,1.0,0.0,10000,4,89996,0
tiny,small_hello_kitty,0_all,1.0,0,agpd_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,1.0,0,scan_100,,,,,,,,,,,
tiny,small_hello_kitty,0_all,1.0,0,agpd_2000,,1.0,0.9999,0.9999,0.9999,0.9999,0.0,9999,1,89999,1
tiny,small_hello_kitty,0_all,1.0,0,scan_2000,,1.0,1.0,1.0,1.0,1.0,0.0,10000,0,90000,0
tiny,small_hello_kitty,0_all,1.0,0,abl,,0.9976,0.9879,0.9879,0.9879,0.9879,0.0013,9879,121,89879,121
tiny,trigger_color_grid,0_all,0.1,0,vbd,1,0.9998,0.9991,0.9993,0.999,0.999,0.0001,9990,7,89993,10
tiny,trigger_color_grid,0_all,0.1,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,0.1,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,0.1,0,agpd_2000,,0.9231,0.3758,0.9996,0.2314,0.2314,0.0,2314,1,89999,7686
tiny,trigger_color_grid,0_all,0.1,0,scan_2000,,0.9569,0.7258,0.9969,0.5706,0.5706,0.0002,5706,18,89982,4294
tiny,trigger_color_grid,0_all,0.1,0,abl,,0.9907,0.9535,0.9535,0.9535,0.9535,0.0052,9535,465,89535,465
tiny,trigger_color_grid,0_all,0.2,0,vbd,2,0.9999,0.9993,0.9988,0.9998,0.9998,0.0001,9998,12,89988,2
tiny,trigger_color_grid,0_all,0.2,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,0.2,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,0.2,0,agpd_2000,,0.9982,0.9912,0.9905,0.9919,0.9919,0.0011,9919,95,89905,81
tiny,trigger_color_grid,0_all,0.2,0,scan_2000,,0.9995,0.9976,0.9999,0.9953,0.9953,0.0,9953,1,89999,47
tiny,trigger_color_grid,0_all,0.2,0,abl,,0.9871,0.9353,0.9353,0.9353,0.9353,0.0072,9353,647,89353,647
tiny,trigger_color_grid,0_all,0.5,0,vbd,1,0.9999,0.9994,0.9987,1.0,1.0,0.0001,10000,13,89987,0
tiny,trigger_color_grid,0_all,0.5,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,0.5,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,0.5,0,agpd_2000,,0.6701,0.0,0.0,0.0,0.0,0.2554,0,22990,67010,10000
tiny,trigger_color_grid,0_all,0.5,0,scan_2000,,1.0,0.9999,1.0,0.9998,0.9998,0.0,9998,0,90000,2
tiny,trigger_color_grid,0_all,0.5,0,abl,,0.9972,0.9862,0.9862,0.9862,0.9862,0.0015,9862,138,89862,138
tiny,trigger_color_grid,0_all,1.0,0,vbd,2,1.0,0.9999,0.9997,1.0,1.0,0.0,10000,3,89997,0
tiny,trigger_color_grid,0_all,1.0,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,1.0,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,0_all,1.0,0,agpd_2000,,0.9976,0.9883,0.9839,0.9926,0.9926,0.0018,9926,162,89838,74
tiny,trigger_color_grid,0_all,1.0,0,scan_2000,,0.9999,0.9997,0.9999,0.9995,0.9995,0.0,9995,1,89999,5
tiny,trigger_color_grid,0_all,1.0,0,abl,,0.9936,0.9678,0.9678,0.9678,0.9678,0.0036,9678,322,89678,322
tiny,trigger_green_square,0_all,0.1,0,vbd,1,0.9926,0.9618,0.9953,0.9305,0.9305,0.0005,9305,44,89956,695
tiny,trigger_green_square,0_all,0.1,0,agpd_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,0.1,0,scan_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,0.1,0,agpd_2000,,0.9969,0.9846,0.9809,0.9883,0.9883,0.0021,9883,192,89808,117
tiny,trigger_green_square,0_all,0.1,0,scan_2000,,0.9773,0.8723,0.9994,0.7739,0.7739,0.0001,7739,5,89995,2261
tiny,trigger_green_square,0_all,0.1,0,abl,,0.9927,0.9635,0.9635,0.9635,0.9635,0.0041,9635,365,89635,365
tiny,trigger_green_square,0_all,0.2,0,vbd,1,0.9996,0.9981,0.9993,0.9969,0.9969,0.0001,9969,7,89993,31
tiny,trigger_green_square,0_all,0.2,0,agpd_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,0.2,0,scan_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,0.2,0,agpd_2000,,0.9978,0.989,0.9903,0.9877,0.9877,0.0011,9877,97,89903,123
tiny,trigger_green_square,0_all,0.2,0,scan_2000,,0.9992,0.9962,0.9987,0.9937,0.9937,0.0001,9937,13,89987,63
tiny,trigger_green_square,0_all,0.2,0,abl,,0.9875,0.9373,0.9373,0.9373,0.9373,0.007,9373,627,89373,627
tiny,trigger_green_square,0_all,0.5,0,vbd,1,0.9998,0.9991,0.9984,0.9997,0.9997,0.0002,9997,16,89984,3
tiny,trigger_green_square,0_all,0.5,0,agpd_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,0.5,0,scan_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,0.5,0,agpd_2000,,0.9983,0.9917,0.9923,0.9911,0.9911,0.0009,9911,77,89923,89
tiny,trigger_green_square,0_all,0.5,0,scan_2000,,0.9994,0.9972,0.9997,0.9948,0.9948,0.0,9948,3,89997,52
tiny,trigger_green_square,0_all,0.5,0,abl,,0.9927,0.9633,0.9633,0.9633,0.9633,0.0041,9633,367,89633,367
tiny,trigger_green_square,0_all,1.0,0,vbd,2,0.9999,0.9996,0.9992,1.0,1.0,0.0001,10000,8,89992,0
tiny,trigger_green_square,0_all,1.0,0,agpd_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,1.0,0,scan_100,,,,,,,,,,,
tiny,trigger_green_square,0_all,1.0,0,agpd_2000,,0.9985,0.9923,0.9941,0.9905,0.9905,0.0007,9905,59,89941,95
tiny,trigger_green_square,0_all,1.0,0,scan_2000,,1.0,0.9999,1.0,0.9999,0.9999,0.0,9999,0,90000,1
tiny,trigger_green_square,0_all,1.0,0,abl,,0.9877,0.9385,0.9385,0.9385,0.9385,0.0068,9385,615,89385,615
tiny,trigger_white_grid,0_all,0.1,0,vbd,1,0.9822,0.9027,0.9953,0.8259,0.8259,0.0004,8259,39,89961,1741
tiny,trigger_white_grid,0_all,0.1,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,0.1,0,scan_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,0.1,0,agpd_2000,,0.9065,0.1316,0.9279,0.0708,0.0708,0.0006,708,55,89945,9292
tiny,trigger_white_grid,0_all,0.1,0,scan_2000,,0.962,0.7658,0.9995,0.6207,0.6207,0.0,6207,3,89997,3793
tiny,trigger_white_grid,0_all,0.1,0,abl,,0.9179,0.5893,0.5893,0.5893,0.5893,0.0456,5893,4107,85893,4107
tiny,trigger_white_grid,0_all,0.2,0,vbd,1,0.9963,0.9814,0.9982,0.9652,0.9652,0.0002,9652,17,89983,348
tiny,trigger_white_grid,0_all,0.2,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,0.2,0,scan_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,0.2,0,agpd_2000,,0.8993,0.0,0.0,0.0,0.0,0.0008,0,69,89931,10000
tiny,trigger_white_grid,0_all,0.2,0,scan_2000,,0.9628,0.7712,1.0,0.6276,0.6276,0.0,6276,0,90000,3724
tiny,trigger_white_grid,0_all,0.2,0,abl,,0.9286,0.6429,0.6429,0.6429,0.6429,0.0397,6429,3571,86429,3571
tiny,trigger_white_grid,0_all,0.5,0,vbd,2,0.9998,0.999,0.9983,0.9997,0.9997,0.0002,9997,17,89983,3
tiny,trigger_white_grid,0_all,0.5,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,0.5,0,scan_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,0.5,0,agpd_2000,,0.8998,0.0,0.0,0.0,0.0,0.0003,0,24,89976,10000
tiny,trigger_white_grid,0_all,0.5,0,scan_2000,,0.9648,0.7864,0.9998,0.6481,0.6481,0.0,6481,1,89999,3519
tiny,trigger_white_grid,0_all,0.5,0,abl,,0.9649,0.8245,0.8245,0.8245,0.8245,0.0195,8245,1755,88245,1755
tiny,trigger_white_grid,0_all,1.0,0,vbd,1,0.9999,0.9997,0.9994,1.0,1.0,0.0001,10000,6,89994,0
tiny,trigger_white_grid,0_all,1.0,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,1.0,0,scan_100,,,,,,,,,,,
tiny,trigger_white_grid,0_all,1.0,0,agpd_2000,,0.9972,0.9859,0.9947,0.9773,0.9773,0.0006,9773,52,89948,227
tiny,trigger_white_grid,0_all,1.0,0,scan_2000,,0.9999,0.9994,0.9999,0.9989,0.9989,0.0,9989,1,89999,11
tiny,trigger_white_grid,0_all,1.0,0,abl,,0.9905,0.9527,0.9527,0.9527,0.9527,0.0053,9527,473,89527,473
tiny,trigger_white_square,0_all,0.1,0,vbd,1,0.9457,0.6283,0.9942,0.4593,0.4593,0.0003,4593,27,89973,5407
tiny,trigger_white_square,0_all,0.1,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,0.1,0,scan_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,0.1,0,agpd_2000,,0.6406,0.0,0.0,0.0,0.0,0.2882,0,25936,64064,10000
tiny,trigger_white_square,0_all,0.1,0,scan_2000,,0.9333,0.5011,0.9947,0.3349,0.3349,0.0002,3349,18,89982,6651
tiny,trigger_white_square,0_all,0.1,0,abl,,0.8707,0.3537,0.3537,0.3537,0.3537,0.0718,3537,6463,83537,6463
tiny,trigger_white_square,0_all,0.2,0,vbd,1,0.9668,0.8018,0.9969,0.6706,0.6706,0.0002,6706,21,89979,3294
tiny,trigger_white_square,0_all,0.2,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,0.2,0,scan_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,0.2,0,agpd_2000,,0.9966,0.9829,0.9921,0.974,0.974,0.0009,9740,78,89922,260
tiny,trigger_white_square,0_all,0.2,0,scan_2000,,0.9563,0.7203,1.0,0.5629,0.5629,0.0,5629,0,90000,4371
tiny,trigger_white_square,0_all,0.2,0,abl,,0.917,0.585,0.585,0.585,0.585,0.0461,5850,4150,85850,4150
tiny,trigger_white_square,0_all,0.5,0,vbd,2,0.9772,0.8718,0.9985,0.7736,0.7736,0.0001,7736,12,89988,2264
tiny,trigger_white_square,0_all,0.5,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,0.5,0,scan_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,0.5,0,agpd_2000,,0.9982,0.9911,0.9878,0.9944,0.9944,0.0014,9944,123,89877,56
tiny,trigger_white_square,0_all,0.5,0,scan_2000,,0.973,0.8442,0.9999,0.7305,0.7305,0.0,7305,1,89999,2695
tiny,trigger_white_square,0_all,0.5,0,abl,,0.9688,0.8438,0.8438,0.8438,0.8438,0.0174,8438,1562,88438,1562
tiny,trigger_white_square,0_all,1.0,0,vbd,1,0.9969,0.984,0.9987,0.9698,0.9698,0.0001,9698,13,89987,302
tiny,trigger_white_square,0_all,1.0,0,agpd_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,1.0,0,scan_100,,,,,,,,,,,
tiny,trigger_white_square,0_all,1.0,0,agpd_2000,,0.6794,0.0,0.0,0.0,0.0,0.2451,0,22057,67943,10000
tiny,trigger_white_square,0_all,1.0,0,scan_2000,,0.9927,0.9621,1.0,0.927,0.927,0.0,9270,0,90000,730
tiny,trigger_white_square,0_all,1.0,0,abl,,0.9564,0.7818,0.7818,0.7818,0.7818,0.0242,7818,2182,87818,2182
tiny,trigger_color_grid,1_1,0.1,0,vbd,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,0,agpd_2000,,0.7597,0.3179,0.222,0.5601,0.5601,0.2181,5601,19631,70369,4399
tiny,trigger_color_grid,1_1,0.1,0,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.1,0,abl,,0.8053,0.0266,0.0266,0.0266,0.0266,0.1082,266,9734,80266,9734
tiny,trigger_color_grid,1_1,0.1,1,vbd,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,1,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,1,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,1,agpd_2000,,0.8995,0.0,0.0,0.0,0.0,0.0006,0,50,89950,10000
tiny,trigger_color_grid,1_1,0.1,1,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.1,1,abl,,0.806,0.0299,0.0299,0.0299,0.0299,0.1078,299,9701,80299,9701
tiny,trigger_color_grid,1_1,0.1,2,vbd,1,0.9,0,0.0,0.0,0.0,0.0001,0,5,89995,10000
tiny,trigger_color_grid,1_1,0.1,2,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,2,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,2,agpd_2000,,0.7159,0.3207,0.2107,0.6707,0.6707,0.2791,6707,25119,64881,3293
tiny,trigger_color_grid,1_1,0.1,2,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.1,2,abl,,0.805,0.025,0.025,0.025,0.025,0.1083,250,9750,80250,9750
tiny,trigger_color_grid,1_1,0.1,3,vbd,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,3,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,3,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,3,agpd_2000,,0.719,0.32,0.2111,0.6613,0.6613,0.2746,6613,24716,65284,3387
tiny,trigger_color_grid,1_1,0.1,3,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.1,3,abl,,0.8056,0.0282,0.0282,0.0282,0.0282,0.108,282,9718,80282,9718
tiny,trigger_color_grid,1_1,0.1,4,vbd,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,4,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,4,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.1,4,agpd_2000,,0.7232,0.3256,0.2153,0.6682,0.6682,0.2706,6682,24358,65642,3318
tiny,trigger_color_grid,1_1,0.1,4,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.1,4,abl,,0.8061,0.0307,0.0307,0.0307,0.0307,0.1077,307,9693,80307,9693
tiny,trigger_color_grid,1_1,0.2,0,vbd,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,0,agpd_2000,,0.7282,0.3244,0.2158,0.6524,0.6524,0.2633,6524,23701,66299,3476
tiny,trigger_color_grid,1_1,0.2,0,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.2,0,abl,,0.8048,0.024,0.024,0.024,0.024,0.1084,240,9760,80240,9760
tiny,trigger_color_grid,1_1,0.2,1,vbd,70,0.9287,0.5034,0.83,0.3613,0.3613,0.0082,3613,740,89260,6387
tiny,trigger_color_grid,1_1,0.2,1,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,1,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,1,agpd_2000,,0.8992,0.0,0.0,0.0,0.0,0.0009,0,80,89920,10000
tiny,trigger_color_grid,1_1,0.2,1,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.2,1,abl,,0.806,0.0302,0.0302,0.0302,0.0302,0.1078,302,9698,80302,9698
tiny,trigger_color_grid,1_1,0.2,2,vbd,22,0.9098,0.197,0.8999,0.1106,0.1106,0.0014,1106,123,89877,8894
tiny,trigger_color_grid,1_1,0.2,2,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,2,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,2,agpd_2000,,0.7287,0.3184,0.2126,0.6335,0.6335,0.2607,6335,23461,66539,3665
tiny,trigger_color_grid,1_1,0.2,2,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.2,2,abl,,0.8058,0.0289,0.0289,0.0289,0.0289,0.1079,289,9711,80289,9711
tiny,trigger_color_grid,1_1,0.2,3,vbd,3,0.9014,0.0303,0.9167,0.0154,0.0154,0.0002,154,14,89986,9846
tiny,trigger_color_grid,1_1,0.2,3,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,3,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,3,agpd_2000,,0.7323,0.3223,0.2158,0.6364,0.6364,0.257,6364,23131,66869,3636
tiny,trigger_color_grid,1_1,0.2,3,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.2,3,abl,,0.8065,0.0326,0.0326,0.0326,0.0326,0.1075,326,9674,80326,9674
tiny,trigger_color_grid,1_1,0.2,4,vbd,1,0.9004,0.0115,0.8169,0.0058,0.0058,0.0001,58,13,89987,9942
tiny,trigger_color_grid,1_1,0.2,4,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,4,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.2,4,agpd_2000,,0.7095,0.3051,0.2005,0.6378,0.6378,0.2825,6378,25429,64571,3622
tiny,trigger_color_grid,1_1,0.2,4,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.2,4,abl,,0.8042,0.0211,0.0211,0.0211,0.0211,0.1088,211,9789,80211,9789
tiny,trigger_color_grid,1_1,0.5,0,vbd,153,0.9754,0.8636,0.9706,0.7778,0.7778,0.0026,7778,236,89764,2222
tiny,trigger_color_grid,1_1,0.5,0,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.5,0,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.5,0,agpd_2000,,0.6865,0.3564,0.2243,0.8681,0.8681,0.3336,8681,30028,59972,1319
tiny,trigger_color_grid,1_1,0.5,0,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.5,0,abl,,0.8902,0.4512,0.4512,0.4512,0.4512,0.061,4512,5488,84512,5488
tiny,trigger_color_grid,1_1,0.5,1,vbd,145,0.9712,0.8377,0.9614,0.7422,0.7422,0.0033,7422,298,89702,2578
tiny,trigger_color_grid,1_1,0.5,1,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.5,1,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.5,1,agpd_2000,,0.6814,0.3499,0.2198,0.8575,0.8575,0.3382,8575,30434,59566,1425
tiny,trigger_color_grid,1_1,0.5,1,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.5,1,abl,,0.8637,0.3184,0.3184,0.3184,0.3184,0.0757,3184,6816,83184,6816
tiny,trigger_color_grid,1_1,0.5,2,vbd,153,0.9681,0.8194,0.9444,0.7236,0.7236,0.0047,7236,426,89574,2764
tiny,trigger_color_grid,1_1,0.5,2,agpd_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.5,2,scan_100,,,,,,,,,,,
tiny,trigger_color_grid,1_1,0.5,2,agpd_2000,,0.67,0.3512,0.2186,0.893,0.893,0.3548,8930,31929,58071,1070
tiny,trigger_color_grid,1_1,0.5,2,scan_2000,,0.9,0,0.0,0,0.0,0.0,0,10000,90000,0
tiny,trigger_color_grid,1_1,0.5,2,abl,,0.8905,0.4525,0.4525,0.4525,0.4525,0.0608,4525,5475,84525,5475
tiny,trigger_color_grid,1_1,0.5,3,vbd,162,0.9748,0.8661,0.9246,0.8146,0.8146,0.0074,8146,664,89336,1854
tiny,trigger_color_grid,1_1,0.5,3,agpd_100,,,,,,,,,,,
